"profid","accountname","fname","lname","mname","bday","memdate","acctstat","address","gender","civilstat","remarks","proftype","profpic","profgroup","previd","billname","shipname","billaddr1","billaddr2","billcity","shipaddr1","shipaddr2","shipcity","area","kobid","contact","encodedby","encodedon","editedby","editedon","salesperson","clientgroupid","pricecodeid","shipperid","hasbranches","tin"
1243,"JANETH STORE - LLORENTE"," "," "," ","1990-01-01","1990-01-01",1,"LLORENTE E., SAMAR",1,1," ",1,"",99,"JAN028","","","","","LLORENTE E., SAMAR","","","LLORENTE E., SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1244,"JANICE PHARMACY - LLORENTE"," "," "," ","1990-01-01","1990-01-01",1,"LLORENTE, EASTERN SAMAR",1,1," ",1,"",99,"JAN030","","","","","LLORENTE, EASTERN SAMAR","","","LLORENTE, EASTERN SAMAR","Leyte",8,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1245,"JANET STORE - SAN NICOLAS CC"," "," "," ","1990-01-01","1990-01-01",1,"SAN NICOLAS, CC",1,1," ",1,"",99,"JAN034","","","","","SAN NICOLAS, CC","","","SAN NICOLAS, CC","#N/A",15,"","","","","","JEREMIAH DAVID BENJAMIN",1,1,"0",0,""
1246,"JANSEN STORE - TACLOBAN"," "," "," ","1990-01-01","1990-01-01",1,"TACLOBAN CITY",1,1," ",1,"",99,"JAN037","","","","","TACLOBAN CITY","","","TACLOBAN CITY","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1247,"JANNILYN ENT. - TACLOBAN"," "," "," ","1990-01-01","1990-01-01",1,"TACLOBAN CITY",1,1," ",1,"",99,"JAN038","","","","","TACLOBAN CITY","","","TACLOBAN CITY","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1248,"JANICE STORE - MATALOM"," "," "," ","1990-01-01","1990-01-01",1,"MATALOM, LEYTE",1,1," ",1,"",99,"JAN040","","","","","MATALOM, LEYTE","","","MATALOM, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1249,"JAN2X & JAI2X GM - SOGOD"," "," "," ","1990-01-01","1990-01-01",1,"DAMULOG, SOGOD, CEBU",1,1," ",1,"",99,"JAN041","","","","","DAMULOG, SOGOD, CEBU","","","DAMULOG, SOGOD, CEBU","Cebu",14,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
1250,"JAN STORE - DAGAMI"," "," "," ","1990-01-01","1990-01-01",1,"DAGAMI, LEYTE",1,1," ",1,"",99,"JAN046","","","","","DAGAMI, LEYTE","","","DAGAMI, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1251,"JANCEZ RAY STORE - SAN JOSE"," "," "," ","1990-01-01","1990-01-01",1,"SAN JOSE",1,1," ",1,"",99,"JAN047","","","","","SAN JOSE","","","SAN JOSE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1252,"JANING STORE- POB. GINATILAN"," "," "," ","1990-01-01","1990-01-01",1,"POBLACION GINATILAN, CEBU",1,1," ",1,"",99,"JAN048","","","","POBLACION GINATILAN, CEBU","","","POBLACION GINATILAN, CEBU","","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
1253,"J AND F STORE- ALCANTARA"," "," "," ","1990-01-01","1990-01-01",1,"ALCANTARA CEBU",1,1," ",1,"",99,"JAN049","","","","ALCANTARA CEBU","","","ALCANTARA CEBU","","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
1254,"JAPOY STORE - SAN JUAN"," "," "," ","1990-01-01","1990-01-01",1,"SAN JUAN, LEYTE",1,1," ",1,"",99,"JAP000","","","","","SAN JUAN, LEYTE","","","SAN JUAN, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1255,"JARDEN STORE - TANAUAN"," "," "," ","1990-01-01","1990-01-01",1,"TANAUAN LEYTE",1,1," ",1,"",99,"JAR001","","","","","TANAUAN LEYTE","","","TANAUAN LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1256,"JASON & JESSA STORE - JARO"," "," "," ","1990-01-01","1990-01-01",1,"JARO LEYTE",1,1," ",1,"",99,"JAS006","","","","","JARO LEYTE","","","JARO LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1257,"J & A STORE - CATARMAN"," "," "," ","1990-01-01","1990-01-01",1,"CATARMAN, N. SAMAR",1,1," ",1,"",99,"JAS012","","","","","CATARMAN, N. SAMAR","","","CATARMAN, N. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1258,"JAVIER STORE - MINGLANILLA"," "," "," ","1990-01-01","1990-01-01",1,"TUNGKIL, MINGLANILLA, CEBU",1,1," ",1,"",99,"JAV001","","","","","TUNGKIL, MINGLANILLA, CEBU","","","TUNGKIL, MINGLANILLA, CEBU","#N/A",15,"","","","","","JIMBOY BERDIN",1,1,"0",0,""
1259,"JAYPOY STORE - ST. BERNARD"," "," "," ","1990-01-01","1990-01-01",1,"SOUTHERN LEYTE",1,1," ",1,"",99,"JAY005","","","","","SOUTHERN LEYTE","","","SOUTHERN LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1260,"JAYANDY ENTERPRISE - LEYTE"," "," "," ","1990-01-01","1990-01-01",1,"LEYTE, LEYTE",1,1," ",1,"",99,"JAY006","","","","","LEYTE, LEYTE","","","LEYTE, LEYTE","Leyte",20,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1261,"JAY-CEE STORE - MAYDOLONG"," "," "," ","1990-01-01","1990-01-01",1,"MAYDOLONG EASTERN SAMAR",1,1," ",1,"",99,"JAY008","","","","","MAYDOLONG EASTERN SAMAR","","","MAYDOLONG EASTERN SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1262,"JAYSAN STORE - SAN FRANCISCO"," "," "," ","1990-01-01","1990-01-01",1,"SAN FRANCISCO, S. LEYTE",1,1," ",1,"",99,"JAY010","","","","","SAN FRANCISCO, S. LEYTE","","","SAN FRANCISCO, S. LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1263,"JAY-AR STORE - TABANGO"," "," "," ","1990-01-01","1990-01-01",1,"TABANGO, LEYTE",1,1," ",1,"",99,"JAY011","","","","","TABANGO, LEYTE","","","TABANGO, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1264,"JAY AR STORE - VALENCIA"," "," "," ","1990-01-01","1990-01-01",1,"VALENCIA, LEYTE",1,1," ",1,"",99,"JAY012","","","","","VALENCIA, LEYTE","","","VALENCIA, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1265,"JAY ANN STORE - LILOAN"," "," "," ","1990-01-01","1990-01-01",1,"LILOAN, SO. LEYTE",1,1," ",1,"",99,"JAY013","","","","","LILOAN, SO. LEYTE","","","LILOAN, SO. LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1266,"JAY CARE STORE - MAYDOLONG"," "," "," ","1990-01-01","1990-01-01",1,"MAYDOLONG",1,1," ",1,"",99,"JAY014","","","","","MAYDOLONG","","","MAYDOLONG","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1267,"JAZZ PHARMACY - LILOAN"," "," "," ","1990-01-01","1990-01-01",1,"LILO-AN SOUTHERN LEYTE",1,1," ",1,"",99,"JAZ000","","","","","LILO-AN SOUTHERN LEYTE","","","LILO-AN SOUTHERN LEYTE","Leyte",8,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1268,"J. BATAYCAN - STA FE"," "," "," ","1990-01-01","1990-01-01",1,"STA FE, CEBU",1,1," ",1,"",99,"JBA000","","","","","STA FE, CEBU","","","STA FE, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
1269,"JBL STORE - ANAHAWAN"," "," "," ","1990-01-01","1990-01-01",1,"ANAHAWAN, LEYTE",1,1," ",1,"",99,"JBL002","","","","","ANAHAWAN, LEYTE","","","ANAHAWAN, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1270,"J & B PHARMACY - CABUCGAYAN"," "," "," ","1990-01-01","1990-01-01",1,"BILIRAN, LEYTE",1,1," ",1,"",99,"JBP001","","","","","BILIRAN, LEYTE","","","BILIRAN, LEYTE","Leyte",7,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1271,"JB VARIETY - BARUGO"," "," "," ","1990-01-01","1990-01-01",1,"BARUGO, LEYTE",1,1," ",1,"",99,"JBV000","","","","","BARUGO, LEYTE","","","BARUGO, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1272,"J- DEL PHARMACY - ISABEL"," "," "," ","1990-01-01","1990-01-01",1,"ISABEL LEYTE",1,1," ",1,"",99,"JDE001","","","","","ISABEL LEYTE","","","ISABEL LEYTE","Leyte",8,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1273,"JD STORE -  BARUGO"," "," "," ","1990-01-01","1990-01-01",1,"BARUGO, LEYTE",1,1," ",1,"",99,"JDS001","","","","","BARUGO, LEYTE","","","BARUGO, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1274,"JEAN CLAIRE STORE - ST MARGARITA"," "," "," ","1990-01-01","1990-01-01",1,"ST MARGARITA, W. SAMAR",1,1," ",1,"",99,"JEA013","","","","","ST MARGARITA, W. SAMAR","","","ST MARGARITA, W. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1275,"JEANWEL G/M"," "," "," ","1990-01-01","1990-01-01",1,"DUMLOG TALISAY",1,1," ",1,"",99,"JEA014","","","DUMLOG TALISAY","","","DUMLOG TALISAY","","","#N/A",15,"","","","","","ALJE CABRERA",1,1,"0",0,""
1276,"JECO'S PHARMACY - MINGLANILLA"," "," "," ","1990-01-01","1990-01-01",1,"MINGLANILLA MARKET CEBU",1,1," ",1,"",99,"JEC001","","","","","MINGLANILLA MARKET CEBU","","","MINGLANILLA MARKET CEBU","#N/A",8,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
1277,"JE CUEVAS STORE"," "," "," ","1990-01-01","1990-01-01",1,"ALEGRIA SAMAR",1,1," ",1,"",99,"JEC003","","","","","ALEGRIA SAMAR","","","ALEGRIA SAMAR","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1278,"JED'S STORE - CAPOOCAN"," "," "," ","1990-01-01","1990-01-01",1,"CAPOOCAN LEYTE",1,1," ",1,"",99,"JED000","","","","","CAPOOCAN LEYTE","","","CAPOOCAN LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1279,"JEFFREY STORE - MAHAPLAG"," "," "," ","1990-01-01","1990-01-01",1,"MAHAPLAG LEYTE",1,1," ",1,"",99,"JEF004","","","","","MAHAPLAG LEYTE","","","MAHAPLAG LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1280,"JEFF & BLESS STORE - BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"BANTAYAN ISLAND CEBU",1,1," ",1,"",99,"JEF005","","","","","BANTAYAN ISLAND CEBU","","","BANTAYAN ISLAND CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
1281,"JEFF HARDWARE - LLORENTE"," "," "," ","1990-01-01","1990-01-01",1,"LLORENTE",1,1," ",1,"",99,"JEF008","","","","","LLORENTE","","","LLORENTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1282,"JEG PHARMACY - N. BACALSO"," "," "," ","1990-01-01","1990-01-01",1,"N. BACALSO ST. CEBUCEBU",1,1," ",1,"",99,"JEG001","","","N. BACALSO ST. CEBU","","CEBU","N. BACALSO ST. CEBU","","CEBU","#N/A",8,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
1283,"JEJ STORE - HILONGOS"," "," "," ","1990-01-01","1990-01-01",1,"HILONGOS LEYTE",1,1," ",1,"",99,"JEJ002","","","","","HILONGOS LEYTE","","","HILONGOS LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1284,"JEK JEK STORE - MADRIDEJOS"," "," "," ","1990-01-01","1990-01-01",1,"MADRIDEJOS, CEBU",1,1," ",1,"",99,"JEK000","","","","","MADRIDEJOS, CEBU","","","MADRIDEJOS, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
1285,"JELINE STORE - DAGAMI"," "," "," ","1990-01-01","1990-01-01",1,"DAGAMI LEYTE",1,1," ",1,"",99,"JEL001","","","","","DAGAMI LEYTE","","","DAGAMI LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1286,"JEL STORE - MERCEDES"," "," "," ","1990-01-01","1990-01-01",1,"MERCEDES, LEYTE",1,1," ",1,"",99,"JEL005","","","","","MERCEDES, LEYTE","","","MERCEDES, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1287,"JELY STORE - SAN ROQUE"," "," "," ","1990-01-01","1990-01-01",1,"SAN ROQUE, TALISAY CITY",1,1," ",1,"",99,"JEL009","","","","","SAN ROQUE, TALISAY CITY","","","SAN ROQUE, TALISAY CITY","#N/A",15,"","","","","","JIMBOY BERDIN",1,1,"0",0,""
1288,"JELYMA STORE - STA. FE"," "," "," ","1990-01-01","1990-01-01",1,"STA. FE, BANTAYAN",1,1," ",1,"",99,"JEL010","","","","","STA. FE, BANTAYAN","","","STA. FE, BANTAYAN","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
1289,"JENNYLYN STORE - DOLORES"," "," "," ","1990-01-01","1990-01-01",1,"DOLORES, SAMAR",1,1," ",1,"",99,"JEN003","","","","","DOLORES, SAMAR","","","DOLORES, SAMAR","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1290,"JEN ZEN STORE - YATI"," "," "," ","1990-01-01","1990-01-01",1,"YATI LILOAN CEBU",1,1," ",1,"",99,"JEN010","","","","","YATI LILOAN CEBU","","","YATI LILOAN CEBU","Cebu",15,"","","","","","1",1,1,"0",0,""
1291,"JENNIFER STORE - SAN ISIDRO"," "," "," ","1990-01-01","1990-01-01",1,"SAN ISIDRO LEYTE",1,1," ",1,"",99,"JEN013","","","","","SAN ISIDRO LEYTE","","","SAN ISIDRO LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1292,"JENNY STORE - TABUELAN"," "," "," ","1990-01-01","1990-01-01",1,"TABUELAN CEBU",1,1," ",1,"",99,"JEN015","","","","","TABUELAN CEBU","","","TABUELAN CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
1293,"JENNLYN STORE - ALANG2X"," "," "," ","1990-01-01","1990-01-01",1,"ALANG-ALANG, LEYTE",1,1," ",1,"",99,"JEN019","","","","","ALANG-ALANG, LEYTE","","","ALANG-ALANG, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1294,"JENUEL STORE - GANDARA"," "," "," ","1990-01-01","1990-01-01",1,"GANDARA, W. SAMAR",1,1," ",1,"",99,"JEN024","","","","","GANDARA, W. SAMAR","","","GANDARA, W. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1295,"JENNY GEN. MERCH."," "," "," ","1990-01-01","1990-01-01",1,"INAYAWAN CEBU",1,1," ",1,"",99,"JEN026","","","INAYAWAN CEBU","","","INAYAWAN CEBU","","","#N/A",20,"","","","","","Rixon Getubig",1,1,"0",0,""
1296,"JENNY STORE - INAYAWAN"," "," "," ","1990-01-01","1990-01-01",1,"INAYAWANCEBU",1,1," ",1,"",99,"JEN027","","","INAYAWAN","","CEBU","INAYAWAN","","CEBU","#N/A",15,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
1297,"JEOMAR TRADING - KAWIT MED"," "," "," ","1990-01-01","1990-01-01",1,"KAWIT, MEDELLIN, CEBU",1,1," ",1,"",99,"JEO000","","","","","KAWIT, MEDELLIN, CEBU","","","KAWIT, MEDELLIN, CEBU","Cebu",14,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
1298,"JERAME STORE - BORBON"," "," "," ","1990-01-01","1990-01-01",1,"BORBON CEBU",1,1," ",1,"",99,"JER001","","","","","BORBON CEBU","","","BORBON CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
1299,"JERRY STORE - NAVAL"," "," "," ","1990-01-01","1990-01-01",1,"NAVAL, LEYTE",1,1," ",1,"",99,"JER003","","","","","NAVAL, LEYTE","","","NAVAL, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1300,"JEREEN STORE - LLORENTE"," "," "," ","1990-01-01","1990-01-01",1,"LLORENTE, E. SAMAR",1,1," ",1,"",99,"JER007","","","","","LLORENTE, E. SAMAR","","","LLORENTE, E. SAMAR","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1301,"JERICK STORE - SAN JUAN"," "," "," ","1990-01-01","1990-01-01",1,"SAN JUAN, SO. LEYTE",1,1," ",1,"",99,"JER010","","","","","SAN JUAN, SO. LEYTE","","","SAN JUAN, SO. LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1302,"JEROME STORE - HAGNAYA"," "," "," ","1990-01-01","1990-01-01",1,"HAGNAYA, CEBU",1,1," ",1,"",99,"JER014","","","","","HAGNAYA, CEBU","","","HAGNAYA, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
1303,"JERRY STORE - BALAMBAN"," "," "," ","1990-01-01","1990-01-01",1,"BALAMBAN",1,1," ",1,"",99,"JER015","","","","","BALAMBAN","","","BALAMBAN","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
1304,"JERICKL STORE - CABALIAN"," "," "," ","1990-01-01","1990-01-01",1,"CABALIAN, SO. LEYTE",1,1," ",1,"",99,"JER016","","","","","CABALIAN, SO. LEYTE","","","CABALIAN, SO. LEYTE","Leyte",10,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1305,"JERMIE'S EATERY- STA. FE"," "," "," ","1990-01-01","1990-01-01",1,"STA. FE CEBU",1,1," ",1,"",99,"JER017","","","","STA. FE CEBU","","","STA. FE CEBU","","Cebu",9,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
1306,"JESRYL STORE-TUNGA"," "," "," ","1990-01-01","1990-01-01",1,"TUNGA LEYTE",1,1," ",1,"",99,"JES013","","","","","TUNGA LEYTE","","","TUNGA LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1307,"JESSA & JASON STORE - JARO"," "," "," ","1990-01-01","1990-01-01",1,"JARO, LEYTE",1,1," ",1,"",99,"JES014","","","","","JARO, LEYTE","","","JARO, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1308,"JESSE STORE - ST. RITA"," "," "," ","1990-01-01","1990-01-01",1,"ST. RITA W. SAMAR",1,1," ",1,"",99,"JES015","","","","","ST. RITA W. SAMAR","","","ST. RITA W. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1309,"JESSICA STORE- TUBURAN"," "," "," ","1990-01-01","1990-01-01",1,"COLONIA, TUBURAN, CEBU",1,1," ",1,"",99,"JES018","","","","","COLONIA, TUBURAN, CEBU","","","COLONIA, TUBURAN, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
1310,"JEWEL PHARMACARE - DOLORES"," "," "," ","1990-01-01","1990-01-01",1,"DOLORES SAMAR",1,1," ",1,"",99,"JEW001","","","DOLORES SAMAR","","","DOLORES SAMAR","","","Leyte",8,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1311,"JEWEL STORE - DOLORES"," "," "," ","1990-01-01","1990-01-01",1,"DOLORES LEYTE",1,1," ",1,"",99,"JEW002","","","","","DOLORES LEYTE","","","DOLORES EASTERN SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1312,"JEZREY STORE - TUNGA"," "," "," ","1990-01-01","1990-01-01",1,"TUNGA,",1,1," ",1,"",99,"JEZ000","","","","","TUNGA,","","","TUNGA,","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1313,"J & F STORE - ALCANTARA"," "," "," ","1990-01-01","1990-01-01",1,"ALCANTARA CEBU",1,1," ",1,"",99,"JF0001","","","","","ALCANTARA CEBU","","","ALCANTARA CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
1314,"J & F STORE - VILLIAREAL"," "," "," ","1990-01-01","1990-01-01",1,"VILLIAREAL, LEYTE",1,1," ",1,"",99,"JF0002","","","","","VILLIAREAL, LEYTE","","","VILLIAREAL, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1315,"J FARMACIA IRENE - MC ARTHUR"," "," "," ","1990-01-01","1990-01-01",1,"MC ARTHUR",1,1," ",1,"",99,"JFA000","","","","","MC ARTHUR","","","MC ARTHUR","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1316,"JFB MINIMART -  STA FE"," "," "," ","1990-01-01","1990-01-01",1,"STA FE BANTYAN, CEBU",1,1," ",1,"",99,"JFB000","","","","","STA FE BANTYAN, CEBU","","","STA FE BANTYAN, CEBU","Cebu",3,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
1317,"JFC STORE - CALBAYOG"," "," "," ","1990-01-01","1990-01-01",1,"CALBAYOG, SAMAR, LEYTE",1,1," ",1,"",99,"JFC001","","","","","CALBAYOG, SAMAR, LEYTE","","","CALBAYOG, SAMAR, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1318,"JFD PHARMACY - SAN FRANCISCO"," "," "," ","1990-01-01","1990-01-01",1,"SAN FRANCISCO, LEYTE",1,1," ",1,"",99,"JFD000","","","","","SAN FRANCISCO, LEYTE","","","SAN FRANCISCO, LEYTE","Leyte",7,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1319,"JFJ STORE - ABUYOG"," "," "," ","1990-01-01","1990-01-01",1,"ABUYOG, LEYTE",1,1," ",1,"",99,"JFJ000","","","","","ABUYOG, LEYTE","","","ABUYOG, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1320,"JG STORE"," "," "," ","1990-01-01","1990-01-01",1,"BASAK LLC",1,1," ",1,"",99,"JGS000","","","","","BASAK LLC","","","BASAK LLC","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
1321,"JHAMZEL PHARMACY - ALOGUINSAN"," "," "," ","1990-01-01","1990-01-01",1,"ALOGUINSAN",1,1," ",1,"",99,"JHA001","","","","","ALOGUINSAN","","","ALOGUINSAN","Cebu",8,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
1322,"JHANEA'S GEN. MERCHANDISE"," "," "," ","1990-01-01","1990-01-01",1,"BANGKAL LLC",1,1," ",1,"",99,"JHA002","","","BANGKAL LLC","","","BANGKAL LLC","","","Cebu",20,"","","","","","Romnick Remolado",1,1,"0",0,""
1323,"JHAY ANN STORE - CULABA"," "," "," ","1990-01-01","1990-01-01",1,"CULABA, BILIRAN, LEYTE",1,1," ",1,"",99,"JHA006","","","","","CULABA, BILIRAN, LEYTE","","","CULABA, BILIRAN, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1324,"JHEA STORE - BALAMBAN"," "," "," ","1990-01-01","1990-01-01",1,"BALAMBAN, CEBU",1,1," ",1,"",99,"JHE004","","","","","BALAMBAN, CEBU","","","BALAMBAN, CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
1325,"JHONRIC STORE - SANTANDER"," "," "," ","1990-01-01","1990-01-01",1,"SANTANDER",1,1," ",1,"",99,"JHO002","","","","","SANTANDER","","","SANTANDER","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
1326,"JHON STEPHEN - MADRIDEJOS"," "," "," ","1990-01-01","1990-01-01",1,"SAN AGUSTIN MADRIDEJOSBANTAYAN ISLAND CEBU",1,1," ",1,"",99,"JHO003","","","","SAN AGUSTIN MADRIDEJOS","BANTAYAN ISLAND CEBU","","SAN AGUSTIN MADRIDEJOS","BANTAYAN ISLAND CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
1327,"JHONROI STORE - MARGARITA"," "," "," ","1990-01-01","1990-01-01",1,"ST. MARGARITA, W. SAMAR",1,1," ",1,"",99,"JHO011","","","","","ST. MARGARITA, W. SAMAR","","","ST. MARGARITA, W. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
1328,"JHUNLYN STORE - OSLOB"," "," "," ","1990-01-01","1990-01-01",1,"OSLOB CEBU",1,1," ",1,"",99,"JHU000","","","","","OSLOB CEBU","","","OSLOB CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
1329,"JIJI STORE - ALBUERA"," "," "," ","1990-01-01","1990-01-01",1,"ALBUERA, LEYTE",1,1," ",1,"",99,"JIJ001","","","","","ALBUERA, LEYTE","","","ALBUERA, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1330,"JINKY STORE - BAKILID"," "," "," ","1990-01-01","1990-01-01",1,"BAKILD MANDAUE",1,1," ",1,"",99,"JIN004","","","BAKILD MANDAUE","","","BAKILD MANDAUE","","","Cebu",14,"","","","","","Romnick Remolado",1,1,"0",0,""
1331,"J & J STORE - ALEGRIA"," "," "," ","1990-01-01","1990-01-01",1,"ALEGRIA CEBU",1,1," ",1,"",99,"JJ0002","","","","","ALEGRIA CEBU","","","ALEGRIA CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
1332,"JJ STORE - PALOMPON"," "," "," ","1990-01-01","1990-01-01",1,"PALOMPON LEYTE",1,1," ",1,"",99,"JJ0005","","","","","PALOMPON LEYTE","","","PALOMPON LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
1333,"JJ & B GROCERY - P. BURGOS"," "," "," ","1990-01-01","1990-01-01",1,"PADRE BURGOS, LEYTE",1,1," ",1,"",99,"JJB000","","","","","PADRE BURGOS, LEYTE","","","PADRE BURGOS, LEYTE","Leyte",10,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
1334,"J & J CONVENIENCE STORE"," "," "," ","1990-01-01","1990-01-01",1,"LAWAAN TALISAY",1,1," ",1,"",99,"JJC000","","","LAWAAN TALISAY","","","LAWAAN TALISAY","","","#N/A",3,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
1335,"JJL MERENES CONVENIENCE- TAN AWAN OSLOB"," "," "," ","1990-01-01","1990-01-01",1,"TAN AWAN OSLOB CEBU",1,1," ",1,"",99,"JJL000","","","TAN AWAN OSLOB CEBU","","","TAN AWAN OSLOB CEBU","","","Cebu",2,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
1336,"J-J STORE - TABANGO"," "," "," ","1990-01-01","1990-01-01",1,"TABANGO LEYTE",1,1," ",1,"",99,"JJS001","","","","","TABANGO LEYTE","","","TABANGO LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
